count,icd_version,code,description,group_order,main_group,fungal_group,organ_system,bodysite,fungal_order,fungal_genus,fungal_species,cat_internal_external,cat_disease_type
1,ICD-9,1176,Allescheriosis Petriellidosis,11,Other Fungus-specific Mycoses,Scedosporium,nonspecific,nonspecific,Microascales Onygenales,Scedosporium Pseudallescheria Allescheria,Nonspecific,nonspecific,nonspecific
2,ICD-9,1173,Aspergillosis,1,Aspergillus,Aspergillus,nonspecific,nonspecific,Eurotiales,Aspergillus,Nonspecific,nonspecific,nonspecific
3,ICD-9,4846,Pneumonia in aspergillosis,1,Aspergillus,Aspergillus,respiratory,lungs,Eurotiales,Aspergillus,Nonspecific,internal,nonspecific
4,ICD-9,1160,Blastomycosis,2,Blastomyces,Blastomyces,nonspecific,nonspecific,Onygenales,Blastomyces,Nonspecific,nonspecific,nonspecific
5,ICD-9,11281,Candidal endocarditis,3,Candida,Candida,cardiovascular,heart,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
6,ICD-9,11285,Candidal enteritis,3,Candida,Candida,digestive,gastrointestinal,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
7,ICD-9,11284,Candidal esophagitis,3,Candida,Candida,digestive,esophagus,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
8,ICD-9,11283,Candidal meningitis,3,Candida,Candida,nervous,brain,Saccharomycetales,Candida,Nonspecific,internal,invasive
9,ICD-9,11282,Candidal otitis externa,3,Candida,Candida,nervous,ear,Saccharomycetales,Candida,Nonspecific,external,nonspecific
10,ICD-9,1124,Candidiasis of lung,3,Candida,Candida,respiratory,lungs,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
11,ICD-9,1120,Candidiasis of mouth,3,Candida,Candida,digestive,mouth,Saccharomycetales,Candida,Nonspecific,internal,nonspecific
12,ICD-9,1122,Candidiasis of other urogenital sites,3,Candida,Candida,genitourinary,other,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
13,ICD-9,1123,Candidiasis of skin and nails,3,Candida,Candida,integumentary,skin nails,Saccharomycetales,Candida,Nonspecific,external,nonspecific
14,ICD-9,1129,Candidiasis of unspecified site,3,Candida,Candida,nonspecific,unspecified,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
15,ICD-9,1121,Candidiasis of vulva and vagina,3,Candida,Candida,genitourinary,vulva vagina,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
16,ICD-9,1125,Disseminated candidiasis,3,Candida,Candida,systemic,nonspecific,Saccharomycetales,Candida,Nonspecific,internal,invasive
17,ICD-9,11289,Other candidiasis of other specified sites,3,Candida,Candida,nonspecific,other,Saccharomycetales,Candida,Nonspecific,nonspecific,nonspecific
18,ICD-9,1144,Chronic pulmonary coccidioidomycosis,4,Coccidioides,Coccidioides,respiratory,lungs,Onygenales,Coccidioides,Nonspecific,internal,chronic
19,ICD-9,1142,Coccidioidal meningitis,4,Coccidioides,Coccidioides,nervous,brain,Onygenales,Coccidioides,Nonspecific,internal,invasive
20,ICD-9,114,COCCIDIOIDOMYCOSIS,4,Coccidioides,Coccidioides,nonspecific,nonspecific,Onygenales,Coccidioides,Nonspecific,nonspecific,nonspecific
21,ICD-9,1149,Coccidioidomycosis unspecified,4,Coccidioides,Coccidioides,nonspecific,unspecified,Onygenales,Coccidioides,Nonspecific,nonspecific,nonspecific
22,ICD-9,1143,Other forms of progressive coccidioidomycosis,4,Coccidioides,Coccidioides,systemic,other,Onygenales,Coccidioides,Nonspecific,nonspecific,invasive
23,ICD-9,1140,Primary coccidioidomycosis pulmonary,4,Coccidioides,Coccidioides,respiratory,lungs,Onygenales,Coccidioides,Nonspecific,internal,acute
24,ICD-9,1141,Primary extrapulmonary coccidioidomycosis,4,Coccidioides,Coccidioides,extrathoracic,nonspecific,Onygenales,Coccidioides,Nonspecific,nonspecific,invasive
25,ICD-9,1145,Pulmonary coccidioidomycosis unspecified,4,Coccidioides,Coccidioides,respiratory,lungs,Onygenales,Coccidioides,Nonspecific,internal,nonspecific
26,ICD-9,3210,Cryptococcal meningitis,5,Cryptococcus,Cryptococcus,nervous,brain,Tremellales,Cryptococcus,Nonspecific,internal,invasive
27,ICD-9,1175,Cryptococcosis,5,Cryptococcus,Cryptococcus,nonspecific,nonspecific,Tremellales,Cryptococcus,Nonspecific,nonspecific,nonspecific
