code,description
A000,cholera due to vibrio cholerae 01 biovar cholerae
A001,cholera due to vibrio cholerae 01 biovar eltor
A009,cholera unspecified
A0100,typhoid fever unspecified
A0101,typhoid meningitis
A0102,typhoid fever with heart involvement
A0103,typhoid pneumonia
A0104,typhoid arthritis
A0105,typhoid osteomyelitis
A0109,typhoid fever with other complications
A011,paratyphoid fever a
A012,paratyphoid fever b
A013,paratyphoid fever c
A014,paratyphoid fever unspecified
A020,salmonella enteritis
A021,salmonella sepsis
A0220,localized salmonella infection unspecified
A0221,salmonella meningitis
A0222,salmonella pneumonia
A0223,salmonella arthritis
A0224,salmonella osteomyelitis
A0225,salmonella pyelonephritis
A0229,salmonella with other localized infection
A028,other specified salmonella infections
A029,salmonella infection unspecified
A030,shigellosis due to shigella dysenteriae
A031,shigellosis due to shigella flexneri
A032,shigellosis due to shigella boydii
A033,shigellosis due to shigella sonnei
A038,other shigellosis
A039,shigellosis unspecified
A040,enteropathogenic escherichia coli infection
A041,enterotoxigenic escherichia coli infection
A042,enteroinvasive escherichia coli infection
A043,enterohemorrhagic escherichia coli infection
A044,other intestinal escherichia coli infections
A045,campylobacter enteritis
A046,enteritis due to yersinia enterocolitica
A047,enterocolitis due to clostridium difficile
A0471,enterocolitis due to clostridium difficile recurrent
A0472,enterocolitis due to clostridium difficile not specified as recurrent
A048,other specified bacterial intestinal infections
A049,bacterial intestinal infection unspecified
A050,foodborne staphylococcal intoxication
A051,botulism food poisoning
A052,foodborne clostridium perfringens clostridium welchii intoxication
A053,foodborne vibrio parahaemolyticus intoxication
A054,foodborne bacillus cereus intoxication
A055,foodborne vibrio vulnificus intoxication
A058,other specified bacterial foodborne intoxications
A059,bacterial foodborne intoxication unspecified
A060,acute amebic dysentery
A061,chronic intestinal amebiasis
A062,amebic nondysenteric colitis
A063,ameboma of intestine
A064,amebic liver abscess
A065,amebic lung abscess
A066,amebic brain abscess
A067,cutaneous amebiasis
A0681,amebic cystitis
A0682,other amebic genitourinary infections
A0689,other amebic infections
A069,amebiasis unspecified
A070,balantidiasis
A071,giardiasis lambliasis
A072,cryptosporidiosis
A073,isosporiasis
A074,cyclosporiasis
A078,other specified protozoal intestinal diseases
A079,protozoal intestinal disease unspecified
A080,rotaviral enteritis
A0811,acute gastroenteropathy due to norwalk agent
A0819,acute gastroenteropathy due to other small round viruses
A082,adenoviral enteritis
A0831,calicivirus enteritis
A0832,astrovirus enteritis
A0839,other viral enteritis
A084,viral intestinal infection unspecified
A088,other specified intestinal infections
A09,infectious gastroenteritis and colitis unspecified
A150,tuberculosis of lung
