code,description
B8801,infestation by demodex mites
B8809,other acariasis
C50A0,malignant inflammatory neoplasm of unspecified breast
C50A1,malignant inflammatory neoplasm of right breast
C50A2,malignant inflammatory neoplasm of left breast
D711,leukocyte adhesion deficiency
D718,other functional disorders of polymorphonuclear neutrophils
D719,functional disorders of polymorphonuclear neutrophils unspecified
D8130,adenosine deaminase deficiency unspecified
D8131,severe combined immunodeficiency due to adenosine deaminase deficiency
D8132,adenosine deaminase 2 deficiency
D8139,other adenosine deaminase deficiency
E093521,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula right eye
E093522,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula left eye
E093523,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula bilateral
E093529,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula unspecified eye
E093531,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula right eye
E093532,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula left eye
E093533,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula bilateral
E093539,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula unspecified eye
E093541,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment right eye
E093542,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment left eye
E093543,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment bilateral
E093549,drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment unspecified eye
E093551,drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy right eye
E093552,drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy left eye
E093553,drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy bilateral
E093559,drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy unspecified eye
E11A,type 2 diabetes mellitus without complications in remission
E34328,other genetic causes of short stature
E34329,unspecified genetic causes of short stature
E3439,other short stature due to endocrine disorder
E72530,primary hyperoxaluria type 1
E72538,other specified primary hyperoxaluria
E72539,primary hyperoxaluria unspecified
E72540,dietary hyperoxaluria
E72541,enteric hyperoxaluria
E72548,other secondary hyperoxaluria
E72549,secondary hyperoxaluria unspecified
E78010,homozygous familial hypercholesterolemia hofh
E78011,heterozygous familial hypercholesterolemia hefh
E78019,familial hypercholesterolemia unspecified
E83820,generalized arterial calcification of infancy with unspecified genetic causality
E83821,enpp1 deficiency causing generalized arterial calcification of infancy
E83822,enpp1 deficiency causing autosomal recessive hypophosphatemic rickets type 2
E83823,abcc6 deficiency causing generalized arterial calcification of infancy
E83824,abcc6 deficiency causing pseudoxanthoma elasticum
E83825,cd73 deficiency causing arterial calcification
E8810,lipodystrophy unspecified
E8811,partial lipodystrophy
E8812,generalized lipodystrophy
E8813,localized lipodystrophy
E8814,hivassociated lipodystrophy
E8819,other lipodystrophy not elsewhere classified
G3187,primary progressive apraxia of speech
G35A,relapsingremitting multiple sclerosis
G35B0,primary progressive multiple sclerosis unspecified
G35B1,active primary progressive multiple sclerosis
G35B2,nonactive primary progressive multiple sclerosis
G35C0,secondary progressive multiple sclerosis unspecified
G35C1,active secondary progressive multiple sclerosis
G35C2,nonactive secondary progressive multiple sclerosis
G35D,multiple sclerosis unspecified
G71031,autosomal dominant limb girdle muscular dystrophy
G71032,autosomal recessive limb girdle muscular dystrophy due to calpain3 dysfunction
G71033,limb girdle muscular dystrophy due to dysferlin dysfunction
G710340,limb girdle muscular dystrophy due to sarcoglycan dysfunction unspecified
G710341,limb girdle muscular dystrophy due to alpha sarcoglycan dysfunction
G710342,limb girdle muscular dystrophy due to beta sarcoglycan dysfunction
G710349,limb girdle muscular dystrophy due to other sarcoglycan dysfunction
G71035,limb girdle muscular dystrophy due to anoctamin5 dysfunction
G71036,limb girdle muscular dystrophy due to fukutin related protein dysfunction
G71038,other limb girdle muscular dystrophy
G71039,limb girdle muscular dystrophy unspecified
H0181,other specified inflammation of right upper eyelid
H0182,other specified inflammation of right lower eyelid
H0183,other specified inflammation of right eye unspecified eyelid
H0184,other specified inflammation of left upper eyelid
H0185,other specified inflammation of left lower eyelid
H0186,other specified inflammation of left eye unspecified eyelid
H0189,other specified inflammation of unspecified eye unspecified eyelid
H018A,other specified inflammation of right eye upper and lower eyelids
H018B,other specified inflammation of left eye upper and lower eyelids
H05831,thyroid orbitopathy right orbit
H05832,thyroid orbitopathy left orbit
H05833,thyroid orbitopathy bilateral
H05839,thyroid orbitopathy unspecified orbit
H40841,neovascular secondary angle closure glaucoma right eye
H40842,neovascular secondary angle closure glaucoma left eye
H40843,neovascular secondary angle closure glaucoma bilateral
H40849,neovascular secondary angle closure glaucoma unspecified eye
H814,vertigo of central origin
I27840,fontanassociated liver disease fald
I27841,fontanassociated lymphatic dysfunction
I27848,other fontanassociated condition
I27849,fontan related circulation unspecified
J1282,pneumonia due to coronavirus disease 2019
J348202,internal nasal valve collapse dynamic
L02217,cutaneous abscess of flank
L02227,furuncle of flank
L0331A,cellulitis of flank
L0332A,acute lymphangitis of flank
L98431,nonpressure chronic ulcer of abdomen limited to breakdown of skin
L98432,nonpressure chronic ulcer of abdomen with fat layer exposed
L98433,nonpressure chronic ulcer of abdomen with necrosis of muscle
L98434,nonpressure chronic ulcer of abdomen with necrosis of bone
L98435,nonpressure chronic ulcer of abdomen with muscle involvement without evidence of necrosis
L98436,nonpressure chronic ulcer of abdomen with bone involvement without evidence of necrosis
L98438,nonpressure chronic ulcer of abdomen with other specified severity
L98439,nonpressure chronic ulcer of abdomen with unspecified severity
L98441,nonpressure chronic ulcer of chest limited to breakdown of skin
L98442,nonpressure chronic ulcer of chest with fat layer exposed
L98443,nonpressure chronic ulcer of chest with necrosis of muscle
L98444,nonpressure chronic ulcer of chest with necrosis of bone
L98445,nonpressure chronic ulcer of chest with muscle involvement without evidence of necrosis
L98446,nonpressure chronic ulcer of chest with bone involvement without evidence of necrosis
L98448,nonpressure chronic ulcer of chest with other specified severity
L98449,nonpressure chronic ulcer of chest with unspecified severity
L98451,nonpressure chronic ulcer of neck limited to breakdown of skin
